age,revenu_mensuel,nombre_experiences_precedentes,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,satisfaction_employee_environnement,note_evaluation_precedente,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,heure_supplementaires,augementation_salaire_precedente,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,frequence_deplacement,annees_depuis_la_derniere_promotion,note_evaluation_variation,satisfaction_moyenne,evaluation_satisfaction,ratio_satisfaction_anciennete,risque_burnout,salaire_moyen_poste,salaire_moyen_poste_departement,ratio_salaire_moyen_poste_departement,non_satisfait_sous_paye,mobilite_interne,stagnation_ratio,genre_F,genre_M,statut_marital_Célibataire,statut_marital_Divorcé(e),statut_marital_Marié(e),departement_Commercial,departement_Consulting,departement_Ressources Humaines,poste_Assistant de Direction,poste_Cadre Commercial,poste_Consultant,poste_Directeur Technique,poste_Manager,poste_Représentant Commercial,poste_Ressources Humaines,poste_Senior Manager,poste_Tech Lead,domaine_etude_Autre,domaine_etude_Entrepreunariat,domaine_etude_Infra & Cloud,domaine_etude_Marketing,domaine_etude_Ressources Humaines,domaine_etude_Transformation Digitale
35,2426,0,6,5,4,1,4,2,3,3,0,13,1,5,16,3,1,0,-1,2.25,0,0.375,0,3237.169884169884,3237.169884169884,0.7494200449174466,1,1,0.6666666666666666,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29,4193,0,10,9,5,4,2,3,4,3,1,12,0,3,15,2,1,0,1,3.5,1,0.35,0,3237.169884169884,3237.169884169884,1.29526720871346,0,4,0.5,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
31,2911,1,5,5,2,1,3,3,4,2,0,17,1,1,26,1,1,4,0,2.5,0,0.4166666666666667,0,3239.972602739726,3239.972602739726,0.8984643874884787,0,3,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
34,2661,0,3,2,2,2,3,4,3,3,0,11,1,2,19,2,1,1,0,3.0,0,1.0,0,3237.169884169884,3237.169884169884,0.8220143196724342,0,0,0.6666666666666666,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28,2028,5,6,4,2,3,2,3,2,3,1,14,0,4,24,3,1,0,1,2.75,1,0.55,0,3237.169884169884,3237.169884169884,0.6264731455451698,0,2,0.4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
29,9980,1,10,10,9,2,4,1,3,3,0,11,1,1,21,4,1,8,-1,2.25,0,0.20454545454545456,0,7295.137931034483,7295.137931034483,1.3680344490189498,0,1,0.8181818181818182,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
32,3298,0,7,6,2,1,4,2,4,2,1,12,2,5,5,2,1,0,-1,2.25,0,0.32142857142857145,1,3239.972602739726,3239.972602739726,1.0179098419570605,0,4,0.2857142857142857,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
22,2935,1,1,1,0,4,4,4,2,2,1,13,2,2,16,2,0,0,-1,3.0,0,1.5,0,3237.169884169884,3237.169884169884,0.9066561549186751,0,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
53,15427,2,31,25,8,1,2,4,3,3,0,16,0,3,2,4,1,3,1,2.75,1,0.10576923076923077,0,17181.676470588234,16986.972972972973,0.9081665123353667,0,17,0.3076923076923077,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
38,3944,5,6,3,2,4,3,4,3,3,1,11,0,3,2,3,1,1,0,3.5,0,0.875,0,3239.972602739726,3239.972602739726,1.2172942439898866,0,1,0.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
24,4011,0,5,4,2,1,4,3,4,2,0,18,1,5,11,2,0,1,-1,2.5,0,0.5,0,7295.137931034483,7295.137931034483,0.5498182540095198,0,2,0.4,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
36,3407,7,10,5,3,3,2,1,2,3,0,23,0,4,9,4,1,0,2,2.25,0,0.375,0,2626.0,2626.0,1.2974105102817974,0,2,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
34,11994,0,13,12,6,1,3,2,3,3,0,11,0,4,7,4,1,2,0,2.25,0,0.17307692307692307,0,16033.55,16033.55,0.7480564191959984,1,6,0.46153846153846156,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
21,1232,1,0,0,0,3,3,4,4,3,0,14,0,6,15,2,1,0,0,3.5,0,3.5,0,3239.972602739726,3239.972602739726,0.3802501289542445,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
34,2960,2,8,4,2,2,3,1,3,3,0,11,0,2,6,1,1,1,0,2.25,0,0.45,0,3239.972602739726,3239.972602739726,0.9135879721627952,1,2,0.4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
53,19094,4,26,14,13,3,3,3,4,2,0,11,1,3,5,3,1,4,0,3.0,0,0.2,0,17181.676470588234,17130.333333333332,1.114630966511646,0,1,0.8666666666666667,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
32,3919,1,10,10,2,2,1,1,2,3,1,22,0,5,16,1,2,6,3,2.0,0,0.18181818181818182,1,3239.972602739726,3239.972602739726,1.2095781293601333,0,8,0.18181818181818182,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
42,6825,0,10,9,7,3,3,2,4,3,0,11,1,2,8,4,1,4,0,3.0,0,0.3,0,6924.2791411042945,6924.2791411042945,0.985662169435812,0,2,0.7,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
44,10248,3,24,22,6,1,2,4,4,3,0,14,1,4,7,4,1,5,1,3.0,1,0.13043478260869565,0,7528.763358778626,7528.763358778626,1.3611797199138571,0,16,0.2608695652173913,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
46,18947,3,22,2,2,2,3,1,4,2,0,12,0,2,2,4,1,2,0,2.25,0,0.75,0,17181.676470588234,16986.972972972973,1.115384125832514,0,0,0.6666666666666666,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
33,2496,4,7,1,1,3,3,4,4,3,0,11,0,3,2,3,1,0,0,3.5,0,1.75,0,3237.169884169884,3237.169884169884,0.7710438714402089,0,0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
44,6465,2,9,4,2,4,3,4,4,4,1,13,0,5,10,4,1,1,0,4.0,0,0.8,0,7528.763358778626,7528.763358778626,0.8587067612454221,0,2,0.4,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
30,2206,1,10,10,0,4,2,3,1,3,0,13,0,5,9,2,1,1,1,2.75,1,0.25,0,3237.169884169884,3237.169884169884,0.6814594472744795,0,10,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
39,2086,3,19,1,0,4,3,4,3,4,0,14,1,6,5,3,1,0,0,3.75,0,1.875,0,2626.0,2626.0,0.7943640517897944,0,1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
24,2293,2,6,2,0,2,3,4,1,2,1,16,1,2,1,3,1,2,0,2.25,0,0.75,1,3239.972602739726,3239.972602739726,0.7077220338409762,1,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
43,2645,1,6,5,3,4,4,3,4,2,0,12,2,3,2,2,1,1,-1,3.25,0,0.5416666666666666,0,3239.972602739726,3239.972602739726,0.8163649278279032,0,2,0.5,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
50,2683,1,3,3,2,1,2,3,3,3,1,14,0,2,3,2,1,0,1,2.5,1,0.625,0,2626.0,2626.0,1.0217060167555216,0,1,0.5,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
35,2014,1,2,2,2,4,3,4,1,3,0,13,0,3,2,3,1,2,0,3.0,0,1.0,0,2626.0,2626.0,0.766945925361767,0,0,0.6666666666666666,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
36,3419,9,6,1,1,2,2,1,4,4,1,14,1,3,5,4,1,0,1,2.75,1,1.375,0,3239.972602739726,3239.972602739726,1.0552558367650666,0,0,0.5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
33,5376,2,10,5,3,3,4,1,1,3,0,19,2,3,1,3,2,1,-1,2.0,0,0.3333333333333333,0,6924.2791411042945,6924.2791411042945,0.7763985088479012,1,2,0.5,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
35,1951,1,1,1,0,3,3,4,3,3,0,12,1,3,4,2,1,0,0,3.25,0,1.625,0,3237.169884169884,3237.169884169884,0.6026869363701313,0,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
27,2341,1,1,1,0,4,3,1,4,3,0,13,1,6,2,4,1,0,0,3.0,0,1.5,0,3237.169884169884,3237.169884169884,0.7231625412826639,0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
26,2293,1,1,1,0,1,1,3,3,2,0,12,0,2,25,3,1,0,2,2.25,0,1.125,0,3237.169884169884,3237.169884169884,0.7083347745241984,1,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
27,8726,1,9,9,8,4,3,3,4,3,0,15,0,0,8,3,2,1,0,3.5,0,0.35,0,6924.2791411042945,6924.2791411042945,1.2602033832229884,0,1,0.8,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
30,4011,1,12,12,8,3,3,4,4,3,0,23,0,2,1,2,2,3,1,3.5,1,0.2692307692307692,0,3237.169884169884,3237.169884169884,1.239045259754278,0,4,0.6153846153846154,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
41,19545,1,23,22,15,2,3,3,4,3,0,12,0,0,12,3,1,15,0,3.0,0,0.13043478260869565,0,16033.55,16033.55,1.2190063959634643,0,7,0.6521739130434783,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
34,4568,0,10,9,5,2,3,3,3,3,0,20,0,2,23,4,0,8,1,2.75,1,0.275,0,6924.2791411042945,6924.2791411042945,0.6597076615359398,0,4,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
37,3022,4,8,1,0,2,3,2,1,3,0,21,0,1,19,2,1,0,1,2.0,0,1.0,0,3239.972602739726,3239.972602739726,0.9327239364445835,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
46,5772,4,14,9,6,1,3,4,3,3,1,21,0,4,5,4,2,0,1,2.75,1,0.275,0,6924.2791411042945,6924.2791411042945,0.833588577580001,0,3,0.6,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
35,2269,1,1,1,0,4,4,4,4,3,0,19,0,2,8,1,1,0,-1,3.75,0,1.875,0,3237.169884169884,3237.169884169884,0.7009208911449656,0,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
48,5381,9,23,1,0,1,2,3,4,3,1,13,0,2,1,2,1,0,1,2.75,1,1.375,0,3237.169884169884,3237.169884169884,1.6622544359854825,0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
28,3441,1,2,2,2,3,3,3,3,2,1,13,0,3,5,4,1,2,0,2.75,0,0.9166666666666666,0,3237.169884169884,3237.169884169884,1.0629655294974996,0,0,0.6666666666666666,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
44,5454,5,9,4,3,2,3,1,3,2,1,21,1,2,1,5,1,1,1,2.0,0,0.4,1,6924.2791411042945,6924.2791411042945,0.787663219355739,1,1,0.6,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
35,9884,2,10,4,0,3,2,1,3,3,1,13,1,3,11,2,0,2,1,2.5,1,0.5,0,7528.763358778626,7528.763358778626,1.3128318063650042,0,4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26,4157,7,5,2,2,3,2,4,3,2,1,19,1,2,23,3,1,0,1,3.0,1,1.0,0,6924.2791411042945,6924.2791411042945,0.6003513023215634,0,0,0.6666666666666666,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
33,13458,1,15,15,14,1,3,4,3,3,1,12,0,1,1,2,2,8,0,2.75,0,0.171875,0,16033.55,16033.55,0.8393649566066156,0,1,0.875,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
35,9069,1,9,9,8,2,3,1,4,2,0,22,1,3,18,5,2,1,1,2.25,0,0.225,0,6924.2791411042945,6924.2791411042945,1.3097392255843778,0,1,0.8,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
35,4014,3,4,2,2,3,3,1,3,3,1,15,1,3,23,4,1,2,0,2.5,0,0.8333333333333334,0,3237.169884169884,3237.169884169884,1.239971995176682,0,0,0.6666666666666666,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
31,5915,3,10,7,7,4,3,4,4,2,0,22,1,3,7,4,1,1,1,3.5,1,0.4375,0,3237.169884169884,3237.169884169884,1.8272133411734117,0,0,0.875,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
37,5993,1,7,7,5,1,2,3,3,4,0,18,1,2,1,4,1,0,1,2.75,1,0.34375,0,7295.137931034483,7295.137931034483,0.8215060574118803,0,2,0.625,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
32,6162,1,9,9,8,1,3,4,2,3,1,22,1,3,1,3,1,7,1,2.5,1,0.25,0,7295.137931034483,7295.137931034483,0.8446721718291351,0,1,0.8,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
38,2406,1,10,10,3,4,3,4,4,3,0,11,0,2,29,5,2,9,0,3.75,0,0.3409090909090909,0,3237.169884169884,3237.169884169884,0.743241808768086,0,7,0.2727272727272727,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
50,18740,5,29,27,3,2,2,3,4,2,1,12,1,2,7,2,1,13,1,2.75,1,0.09821428571428571,0,16033.55,16033.55,1.1687991742315333,0,24,0.10714285714285714,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
59,7637,7,28,21,16,1,3,1,4,2,0,11,0,3,25,3,1,7,0,2.0,0,0.09090909090909091,0,6924.2791411042945,6924.2791411042945,1.1029306942097137,0,5,0.7272727272727273,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
36,10096,1,17,17,14,3,3,3,2,3,0,13,3,2,8,3,1,12,0,2.75,0,0.1527777777777778,0,7528.763358778626,7528.763358778626,1.3409904812890614,0,3,0.7777777777777778,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
55,14756,2,21,5,0,4,3,3,3,3,1,14,3,2,8,3,1,0,0,3.25,0,0.5416666666666666,0,17181.676470588234,17130.333333333332,0.8613959642739002,0,5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
36,6499,1,6,6,5,2,2,2,3,3,0,13,0,3,11,3,2,0,1,2.5,1,0.35714285714285715,0,7295.137931034483,7295.137931034483,0.8908673230635425,0,1,0.7142857142857143,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
45,9724,2,25,1,0,2,3,1,3,3,0,17,1,2,7,3,1,0,0,2.25,0,1.125,0,3239.972602739726,3239.972602739726,3.0012599463888585,0,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
35,2194,4,5,3,2,2,3,1,4,2,0,13,1,2,1,3,2,1,0,2.25,0,0.5625,0,3239.972602739726,3239.972602739726,0.677166219907153,1,1,0.5,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
36,3388,0,2,1,0,4,2,3,1,2,1,17,1,0,9,3,1,0,1,2.5,1,1.25,0,3239.972602739726,3239.972602739726,1.0456878546241724,0,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
